_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
69ef0000b392f0b5c9420c6d,false,84.61,96.58,84.61,68.2,423;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1777270784000
69e5cf5eb392f0b5c9ed4c62,false,74.2,96.89,74.2,61.9,371;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1776668510000
69e5c97ab392f0b5c9ed1352,false,87.2,98.21,87.2,71.69,436;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1776667002000
69e5c929b392f0b5c9ed10a1,false,86.61,97.74,86.61,71.91,433;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1776666921000
69df8fc3b392f0b5c9b6a751,false,73.01,94.9,74.41,67.24,365;1;1;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1776259011000
69df8f84b392f0b5c9b6a3cd,false,80.01,95.49,80.01,63.26,400;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1776258948000
69df73b9b392f0b5c9b55740,false,83.61,98.59,83.61,71.75,418;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1776251833000
69df7379b392f0b5c9b554c8,false,82.41,98.33,82.41,71.66,412;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1776251769000
69df4bfdb392f0b5c9b3e1c8,false,87.2,96.53,91,78.16,436;7;0;2,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1776241661000
69df4a4bb392f0b5c9b3d2fe,false,81.4,98.56,81.4,72.52,407;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1776241227000
69df4a06b392f0b5c9b3d060,false,86.62,98.19,86.62,76.79,433;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1776241158000
69d65d91dfef0e30f9e43cf4,false,78.2,94.13,80,65.44,391;1;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1775656337000
69d65d3bdfef0e30f9e43805,false,84.41,98.39,84.41,69.93,422;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1775656251000
69d65cfbdfef0e30f9e4348a,false,79.75,96.15,79.75,64.01,399;0;0;0,time,60,-1,0,60.04,0,0,true,false,english,,normal,false,false,false,,1775656187000
69ce73016da55f146789fb52,false,83.41,96.35,83.41,67.46,417;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1775137537000
69b79afab7cdedd5c6cdc8fb,false,76.81,93.59,78.81,66.43,384;1;0;3,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1773640442000
69afc78bb7cdedd5c6858a30,false,70.4,94.82,74.4,66.99,352;4;1;4,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1773127563000
69afc439b7cdedd5c68569dd,false,78.8,94.84,82.2,70.6,394;7;1;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1773126713000
69afc3eeb7cdedd5c6856705,false,86.21,96.86,86.81,70.19,431;0;1;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1773126638000
69ae97a4b7cdedd5c6793328,false,84.81,98.17,86.01,69.97,424;1;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1773049764000
